count,qid,occupation,keep?,description
1256,Q1028181,painter,y,artist who practices painting
1155,Q483501,artist,y,"person who creates, practises and/or demonstrates any art"
463,Q33231,photographer,y,person who takes photographs
326,Q1281618,sculptor,y,artist specializing in sculpture
262,Q36180,writer,y,person who uses written words to communicate ideas and to produce works of literature
170,Q49757,poet,y,person who writes and publishes poetry
148,Q42973,architect,y,"person trained to plan and design buildings, and oversee their construction"
141,Q33999,actor,y,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio"
137,Q3391743,visual artist,y,artist involved with the visual arts
125,Q1930187,journalist,n,"person who collects, writes and distributes news and other information"
107,Q2526255,film director,y,occupation of a person who directs a film
87,Q82955,politician,n,"person involved in politics, person who holds or seeks positions in government"
70,Q201788,historian,n,person who studies and writes about the past
64,Q18074503,installation artist,y,artist specialized in installation art
51,Q177220,singer,y,person singing for a listening audience
51,Q18216771,video artist,y,person who creates video art
49,Q188094,economist,n,professional in the social science discipline of economics
40,Q6934789,multimedia artist,y,
38,Q1114448,cartoonist,y,visual artist who makes cartoons
38,Q644687,illustrator,y,narrative artist who makes images for printed and electronic products
36,Q15253558,activist,y,"person working with promoting or impeding, or causing social, political, economic, or environmental change"
36,Q715301,comics artist,y,people who creates comics
35,Q1792450,art historian,y,humanist who is engaged in history of art
35,Q7541856,ceramist,y,occupation (ceramic)
34,Q6625963,novelist,y,author or writer of novel
33,Q37226,teacher,n,"person who helps others to acquire knowledge, competences or values"
33,Q674426,curator,y,content specialist charged with an institution's collections and involved with the interpretation of heritage material
32,Q4610556,model,n,"person employed to display, advertise and promote products, or to serve as a visual aid"
30,Q11569986,printmaker,y,person who etches or engraves to produce prints
29,Q36834,composer,y,"person who creates music, either by musical notation or oral tradition"
28,Q10774753,performance artist,y,person who practices performance art
28,Q3400050,potter,y,someone who makes pottery
28,Q482980,author,y,creator of an original spoken or written work
28,Q639669,musician,y,person who performs or composes music
25,Q2490358,choreographer,y,person who creates choreographies
25,Q3501317,fashion designer,y,profession
25,Q5322166,designer,y,person who designs
25,Q976015,basket weaver,y,a person who makes baskets
22,Q170790,mathematician,n,person with an extensive knowledge of mathematics
22,Q627325,graphic designer,y,"person who who assembles images, typography or motion graphics to create a piece of design"
21,Q40348,lawyer,n,legal professional who helps clients and represents them in a court of law
21,Q4773904,anthropologist,n,person with an extensive knowledge of anthropology
20,Q1622272,university teacher,n,person teaching at a university
19,Q121594,professor,n,academic rank at universities and other post-secondary education and research institutions in most countries
19,Q593644,chemist,n,scientist trained in the study of chemistry
18,Q4964182,philosopher,n,person with an extensive knowledge of philosophy
17,Q81096,engineer,n,professional practitioner of engineering
16,Q39631,physician,n,professional who practices medicine
16,Q28389,screenwriter,y,"writer who writes for TV, films, comics and games"
16,Q322170,suffragette,y,female member of the women's right to vote movement
15,Q82594,computer scientist,n,scientist specializing in computer science
15,Q34074720,feminist,y,one who advocates for the civil rights of women
14,Q2306091,sociologist,n,scientist working in sociology
14,Q901,scientist,n,person that studies a science
14,Q2865798,glass artist,y,one who practises glass arts
13,Q182436,librarian,n,"person who works professionally in a library, and is usually trained in librarianship"
13,Q1231865,pedagogue,n,person working in the academic field of pedagogy
13,Q10694573,textile artist,y,"person who creates art objects using plant, animal, or synthetic fibers"
13,Q10732476,art collector,y,person who collects art
12,Q169470,physicist,n,scientist who does research in physics
12,Q1414443,film maker,y,creator of a cinematic work
12,Q486748,pianist,y,musician who plays the piano
11,Q210167,video game developer,y,"individual, group or corporation that develops a video game"
11,Q2815948,landscape architect,y,"person involved in the planning, design and sometimes direction of a landscape, garden, or distinct space"
10,Q16631371,academic,n,member of a university or research centre
10,Q3148760,botanical illustrator,y,"person who paints, sketches or otherwise illustrates botanical subjects"
10,Q329439,engraver,y,person with the profession of engraving
10,Q780596,curator,y,person in charge of organising an exhibition
9,Q1650915,researcher,n,professional who engages in research
9,Q15627169,trade unionist,n,person involved in trade unions
9,Q212980,psychologist,n,"professional who evaluates, diagnoses, treats, and studies behavior and mental processes"
9,Q2374149,botanist,n,person who practices botany
9,Q3621491,archaeologist,n,person studying human activity in the past
9,Q43845,businessperson,n,person involving in activities for the purpose of generating revenue
9,Q864503,biologist,n,scientist who studies living organisms and their relationship to their environment
9,Q16947657,lithographer,y,person who primarily uses lithography for making prints
9,Q3374326,muralist,y,artist whose work consists primarily of painting murals
9,Q437512,weaver,y,person who weaves fabrics
9,Q7042855,film editor,y,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture"
8,Q2066131,athlete,n,person who participates regularly in a sport
8,Q10800557,film actor,y,actor who appears in films or movies
8,Q15296811,drawer,y,person who makes drawings (artist/cartoonist/drafter/illustrator)
8,Q2133309,interior designer,y,"person who designs the interior decoration of a room or building; who plans, researches, coordinates, and manages such projects"
8,Q214917,playwright,y,person who writes plays
7,Q186360,nurse,n,type of health care provider
7,Q1229025,typographer,y,"typography worker; for the designer of fonts and type, see Q354034"
7,Q17098559,penciller,y,"artist who works in the creation of comic books, graphic novels, and similar visual art forms"
7,Q2259451,stage actor,y,actor who performs live before an in-person audience
7,Q354034,type designer,y,person who designs typefaces
7,Q488205,singer-songwriter,y,"musician who writes, composes and sings"
7,Q5716684,dancer,y,person who dances
7,Q7016454,new media artist,y,artist who primarily uses (new) media art in his/her work
6,Q28989,graf,n,historical title of the German nobility
6,Q11063,astronomer,n,scientist who studies celestial bodies
6,Q130857,disc jockey,n,person who plays recorded music for an audience
6,Q13365117,handball player,n,sportsperson who plays one of the different types of handball
6,Q3499072,chef,n,person that directs preparation of meals
6,Q14915627,musicologist,y,occupation
6,Q158852,conductor,y,person who directs a musical group during a performance
6,Q19850998,sound artist,y,artist who uses sound as a medium
6,Q2252262,rapper,y,artist who speaks rhymes in a rhythm over music
6,Q3455803,director,y,director of a creative work
5,Q11499147,political activist,y,activist wanting political change
5,Q333634,translator,n,person who translates text from one language to another
5,Q105186,pharmacist,n,healthcare professional who practices in pharmacy
5,Q13219587,figure skater,n,sportsperson who takes part in figure skating tournaments
5,Q14467526,linguist,n,expert in human languages
5,Q937857,association football player,n,person who plays association football (soccer)
5,Q11774202,essayist,y,person who writes essays
5,Q14915751,prostitute,y,person who has sex for money
5,Q15095148,graffiti artist,y,artist who specializes in graffiti
5,Q1607826,editor,y,person who edits texts or publications
5,Q17505902,watercolourist,y,artist who works in watercolours
5,Q18611810,textile designer,y,"person who designs printed, woven, or knitted textiles for production"
5,Q1861368,tattoo artist,y,individual who applies permanent decorative tattoos
5,Q1925963,graphic artist,y,artist who makes lines on paper through various print techniques
5,Q21477194,contemporary artist,y,
5,Q27532437,suffrage activist,y,member of the women's right to vote movement
5,Q3068305,salonnière,y,person who organizes or hosts a salon
5,Q4164507,art critic,y,person who specializes in evaluating art
5,Q46984315,quilter,y,person who practises quilting
